FirstName,LastName,Email,PhoneNumber,UserType
Kim,Abercrombie,kim@example.com,1234567890,Staff
Jeff,Hay,jeff@example.com,2345678901,Staff
Charlie,Herb,charlie@example.com,3456789012,Student
Chris,Preston,chris@example.com,4567890123,Student
Dave,Barnett,dave@example.com,5678901234,Staff
Ann,Beebe,ann@example.com,6789012345,Student
John,Kane,john@example.com,7890123456,Student
David,Simpson,david@example.com,8901234567,Student
Greg,Chapman,greg@example.com,9012345678,Student
Tim,Litton,tim@example.com,0123456789,Student
